image,err1,err2,err3,err4,err5,err6,err7,err8,err9,places_detectees,coords
Analyse 1 - 2026-03-03_0634.jpg,0,0,0,0,0,0,0,0,0,37,
Analyse 1 - 2026-03-03_0734.jpg,0,0,0,0,0,0,0,0,0,37,
Analyse 1 - 2026-03-03_0834.jpg,0,0,0,0,0,0,0,0,0,37,
Analyse 1 - 2026-03-03_0934.jpg,1,0,1,0,0,0,0,0,0,36,3:696:1160 | 1:2723:296
Analyse 1 - 2026-03-03_1034.jpg,9,0,2,0,0,0,0,0,0,28,3:703:1163 | 3:776:853 | 1:1316:340 | 1:1506:336 | 1:1690:346 | 1:1893:333 | 1:2256:336 | 1:2390:336 | 1:2546:333 | 1:2746:323 | 1:1306:836
Analyse 1 - 2026-03-03_1134.jpg,2,0,2,0,0,0,0,0,0,35,1:1503:336 | 1:1690:336 | 3:783:880 | 3:710:1213
Analyse 1 - 2026-03-03_1234.jpg,0,0,2,1,0,0,0,0,0,37,3:770:853 | 3:710:1186 | 4:3156:950
Analyse 1 - 2026-03-03_1335.jpg,1,0,2,0,0,0,0,0,0,36,1:1516:806 | 3:783:846 | 3:706:1166
Analyse 1 - 2026-03-03_1435.jpg,1,0,2,0,0,0,0,0,0,36,3:753:856 | 3:683:1183 | 1:1773:1193
Analyse 1 - 2026-03-03_1535.jpg,0,0,2,0,0,0,0,0,0,37,3:783:853 | 3:716:1200
Analyse 1 - 2026-03-03_1635.jpg,2,1,1,0,0,0,0,0,0,35,3:696:1180 | 1:1260:1186 | 1:1763:1160 | 2:86:826
Analyse 1 - 2026-03-03_1735.jpg,0,0,1,1,0,0,0,0,0,37,3:726:1203 | 4:3143:1013
Analyse 1 - 2026-03-03_1835.jpg,0,0,0,0,37,0,0,0,0,37,5:90:340 | 5:210:370 | 5:386:370 | 5:543:376 | 5:756:370 | 5:893:366 | 5:1356:356 | 5:1510:370 | 5:1670:356 | 5:1846:353 | 5:2070:350 | 5:2256:360 | 5:2393:336 | 5:2553:330 | 5:2696:306 | 5:1090:883 | 5:986:1153 | 5:1303:1250 | 5:1300:880 | 5:1500:806 | 5:1496:1156 | 5:1716:1160 | 5:1673:873 | 5:1956:833 | 5:1990:1000 | 5:2293:1120 | 5:2183:893 | 5:2333:860 | 5:2443:1056 | 5:2750:1053 | 5:2590:870 | 5:2760:826 | 5:2970:1076 | 5:3016:823 | 5:3123:1056 | 5:3126:746 | 5:86:783
